playerFullName,PitchType,playerId,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,PitchNo,group_mean,group_std,CLASS+,Count
"Dennis, Gunnar",SI,824610.0,90.23765285714286,9.387024285714286,-10.687205714285714,2258.8954711428573,5.994552857142857,5.722951428571428,-2.3169542857142855,10.687205714285714,2.3169542857142855,90.70355631205676,14.089097163120568,4.454091914893617,-0.46590345491388924,-4.702072877406281,6.233113799392098,-0.0030369948442865425,203.0,-0.0002688599585534,0.0072788232536206,96.19700219488614,7.0
"Elliott, Hunter",4S,695545.0,89.65936226666666,15.619909466666666,-15.876196029629629,2305.9543076918517,6.233481762962963,5.2446135555555555,-2.701685096296296,15.876196029629629,2.701685096296296,89.65936226666666,15.619909466666666,15.876196029629629,4.542127990597927e-15,6.309356329573482e-16,9.36205845357984e-16,0.007555377503574528,79.45777777777778,0.0028173875412249,0.0073362157238225,106.45835692503444,675.0
"Elliott, Hunter",CH,695545.0,78.94930365,6.5579979,-21.267185725,2016.39133612,6.010628825,4.92589325,-3.1479467249999997,21.267185725,3.1479467249999997,89.65936226666666,15.619909466666666,15.87619602962963,-10.710058616666661,-9.061911566666666,5.39098969537037,0.00842540637120764,98.04,0.0057302139408229,0.0094398261837037,102.85512929786519,400.0
"Elliott, Hunter",CU,695545.0,74.1968841935484,-5.747981935483871,14.261300483870968,2496.950154629032,5.599155322580645,5.166452741935483,-3.032563225806452,-14.261300483870968,3.032563225806452,89.65936226666666,15.619909466666666,15.876196029629629,-15.462478073118275,-21.367891402150537,-30.137496513500597,-0.010242627013149697,91.53225806451613,0.0038883046970989,0.0075667092185874,81.32486487582167,62.0
"Elliott, Hunter",SL,695545.0,79.16929118181818,2.0118258181818183,6.543723363636364,2239.7988957,5.7831008181818175,5.218639545454545,-2.937311454545455,-6.543723363636364,2.937311454545455,89.65936226666666,15.619909466666666,15.876196029629629,-10.49007108484848,-13.608083648484847,-22.419919393265992,0.00668082312465549,100.69090909090909,0.007413182025219,0.0078737585740861,99.06987381734842,110.0
"Galle, Patrick",4S,1000090130.0,96.43207810126583,15.310567341772153,3.904339240506329,2341.538649835443,6.507616582278481,5.859498607594937,1.3192906329113925,3.904339240506329,1.3192906329113925,96.43207810126584,15.310567341772153,3.904339240506329,-6.9986210919408604e-15,-6.682418331762809e-16,2.585835905456061e-16,0.00858795221283275,242.44303797468353,0.0028173875412249,0.007336215723822501,107.86586012304593,79.0
"Galle, Patrick",FC,1000090130.0,90.80168379310345,9.01991724137931,-2.233147931034483,2329.098929172414,6.17541724137931,5.754461724137931,1.4957200000000002,-2.233147931034483,1.4957200000000002,96.43207810126584,15.310567341772153,3.904339240506329,-5.630394308162383,-6.290650100392842,-6.137487171540811,0.01128162093893307,240.48275862068965,0.011293074699198002,0.0075858975963126,99.98490124587164,29.0
"Galle, Patrick",SL,1000090130.0,86.56514703703704,2.0752662962962964,-3.274713333333333,2228.2156601851852,5.905512962962963,5.858877777777777,1.2925214814814814,-3.274713333333333,1.2925214814814814,96.43207810126584,15.310567341772153,3.904339240506329,-9.866931064228792,-13.235301045475856,-7.179052573839662,0.009904016764954135,253.03703703703704,0.007413182025219,0.0078737585740861,103.16346344163122,27.0
"Hancock, Owen",4S,815411.0,93.84213017241379,16.243721034482757,6.324786551724138,2223.572771551724,6.620358620689655,5.815898965517241,0.9169737931034483,6.324786551724138,0.9169737931034483,93.8421301724138,16.243721034482757,6.324786551724138,4.169078875230329e-15,1.4700884188140004e-15,-1.5313421029312504e-17,0.0018965735301796724,183.8793103448276,0.0028173875412249,0.0073362157238225,98.74483787594306,58.0
"Hancock, Owen",FC,815411.0,85.99831166666667,8.91679,-4.4772799999999995,2199.1704706666665,6.1095,5.683163333333333,1.133395,-4.4772799999999995,1.133395,93.8421301724138,16.243721034482757,6.324786551724138,-7.843818505747123,-7.326931034482757,-10.802066551724138,0.011513956853914932,193.33333333333334,0.011293074699198,0.0075858975963126,100.29117471190784,6.0
