playerId,playerFullName,PitchType,Count,CLASS+,Vel,iVB,HB,Spin,Ext,RelH,RelS,nHB,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std
805783,"Nichols, Mason",4S,13,94.4,92.9,16.6,7.6,2212.3,6.4,6.1,1.3,7.6,1.3,92.9,16.6,7.6,0.0,0.0,0.0,-0.001282734141,0.002817387541,0.007336215724
1000102891,"Canney, Alex",CH,28,94.2,82.8,8.7,7.2,1598.6,6.0,5.5,1.7,7.2,1.7,89.3,15.3,7.8,-6.5,-6.6,-0.6,0.0002473778332,0.005730213941,0.009439826184
10279656,"Waters, Landon",CH,17,94.1,87.1,5.3,16.7,1750.4,5.5,5.4,1.6,16.7,1.6,92.1,17.2,8.4,-5.0,-12.0,8.3,0.0001178570712,0.005730213941,0.009439826184
1000146120,"Spencer, Connor",CH,2,93.8,87.6,12.8,3.9,1126.7,5.6,6.0,2.1,3.9,2.1,92.3,20.0,-3.4,-4.7,-7.2,7.3,-0.0001424711394,0.005730213941,0.009439826184
1000138960,"Rodriguez, Ryne",4S,72,93.7,89.5,12.9,-12.6,2133.0,6.6,5.2,-2.4,12.6,2.4,89.5,12.9,12.6,0.0,0.0,0.0,-0.00176806109,0.002817387541,0.007336215724
10157164,"Dennis, Gunnar",FC,18,93.7,79.8,-0.5,4.5,2373.5,5.5,5.9,-1.8,-4.5,1.8,88.6,11.8,2.3,-8.8,-12.3,-6.8,0.006494007528,0.0112930747,0.007585897596
1000090848,"Ketchum, Cole",4S,64,93.5,90.1,16.0,13.3,2148.4,5.7,6.1,1.0,13.3,1.0,90.1,16.0,13.3,0.0,0.0,0.0,-0.00191964445,0.002817387541,0.007336215724
10110143,"Johnson, Cooper",4S,96,92.8,86.8,19.2,-9.2,2211.9,6.2,6.2,-2.4,9.2,2.4,86.8,19.2,9.2,0.0,0.0,0.0,-0.002492639901,0.002817387541,0.007336215724
1000072347,"Hooks, Walker",CU,24,92.7,77.9,-3.6,5.0,2171.2,6.3,6.5,-1.2,-5.0,1.2,89.2,16.1,11.8,-11.3,-19.7,-16.9,-0.001642555626,0.003888304697,0.007566709219
10110143,"Johnson, Cooper",SL,28,92.6,77.8,-3.9,2.3,2260.8,5.5,6.0,-2.8,-2.3,2.8,86.8,19.2,9.2,-9.0,-23.1,-11.5,0.001611082868,0.007413182025,0.007873758574
702494,"Tookoian, Sam",CH,4,92.2,86.7,14.9,4.6,1895.5,6.1,6.0,2.4,4.6,2.4,92.8,17.1,3.3,-6.2,-2.2,1.3,-0.001610511384,0.005730213941,0.009439826184
1000165662,"Mattox, Hudson ",4S,24,92.0,87.0,21.6,9.9,2155.2,5.4,6.3,0.7,9.9,0.7,87.0,21.6,9.9,0.0,0.0,0.0,-0.003016595346,0.002817387541,0.007336215724
1000138960,"Rodriguez, Ryne",FC,58,91.3,83.8,3.1,2.9,2463.0,6.1,5.3,-2.3,-2.9,2.3,89.5,12.9,12.6,-5.6,-9.8,-15.5,0.004678506066,0.0112930747,0.007585897596
10156932,"Reigert, Jake",FC,40,90.4,79.9,6.3,-3.7,2024.0,6.2,5.6,2.2,-3.7,2.2,90.5,15.1,15.2,-10.6,-8.8,-18.9,0.003990226717,0.0112930747,0.007585897596
10106537,"Lopez, Kaiden",CH,21,89.9,83.4,3.5,18.2,1843.9,5.9,5.2,2.9,18.2,2.9,90.3,16.3,12.5,-6.8,-12.8,5.7,-0.003776746035,0.005730213941,0.009439826184
1000102891,"Canney, Alex",SI,5,88.0,88.3,12.2,17.3,2195.6,6.2,5.5,1.3,17.3,1.3,89.3,15.3,7.8,-1.0,-3.1,9.5,-0.008979598108,-0.0002688599586,0.007278823254
10110143,"Johnson, Cooper",CU,29,86.7,73.0,-15.0,11.9,2376.9,5.5,6.2,-2.4,-11.9,2.4,86.8,19.2,9.2,-13.7,-34.3,-21.1,-0.006202878175,0.003888304697,0.007566709219
1000119598,"Maddox, Riley",FC,18,86.3,84.9,2.2,0.3,2523.0,5.4,5.4,2.1,0.3,2.1,92.9,12.2,18.1,-8.0,-10.0,-17.7,0.0009147966156,0.0112930747,0.007585897596
