Date,playerId,playerFullName,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,CLASS+
2024-09-28,1000090130,"Galle, Patrick",4S,97.04085,16.38005,7.44682,2350.613002,6.13449,5.88782,1.62198,7.44682,1.62198,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.177371379310344,-0.14220793103448415,0.8917060344827581,0.012246326323191191,0.0028173875412249826,0.007336215723822519,112.85259204053678
2024-10-19,1000090130,"Galle, Patrick",4S,97.00611,19.31485,7.54441,2409.872871,6.31,5.74575,1.38407,7.54441,1.38407,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.1426313793103446,2.792592068965515,0.9892960344827584,0.01059143362403533,0.0028173875412249826,0.007336215723822519,110.59680682175973
2024-11-02,1000090130,"Galle, Patrick",4S,96.90755,17.38454,8.10178,2263.309747,6.1044,5.8882,1.48749,8.10178,1.48749,4S,95.86347862068966,16.522257931034485,6.555113965517242,1.0440713793103384,0.8622820689655164,1.546666034482758,0.012327413085900778,0.0028173875412249826,0.007336215723822519,112.96312145483178
2024-10-19,1000146120,"Spencer, Connor",4S,96.85991,18.67245,-1.63492,2345.967171,6.33709,6.23695,1.66202,-1.63492,1.66202,4S,92.262221,19.957132,-3.4301886666666666,4.597689000000003,-1.284682,1.7952686666666666,0.0029368909833342003,0.0028173875412249826,0.007336215723822519,100.1628952127473
2024-09-28,1000090130,"Galle, Patrick",4S,96.83452,14.40969,4.8089,2370.5988,6.2839,5.8898,1.52372,4.8089,1.52372,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.9710413793103356,-2.1125679310344854,-1.7462139655172413,0.004828012532823588,0.0028173875412249826,0.007336215723822519,102.74068411738439
2024-10-19,1000090130,"Galle, Patrick",4S,96.81834,19.59072,13.40839,2376.524781,6.54876,5.70139,1.43598,13.40839,1.43598,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.9548613793103442,3.068462068965516,6.853276034482759,0.013420399060484192,0.0028173875412249826,0.007336215723822519,114.45297128440292
2024-10-12,10123181,"Hancock, Owen",4S,96.79721,17.54174,4.76914,2105.773594,5.91285,6.18964,0.77248,4.76914,0.77248,4S,93.95215341463414,17.772974715447155,5.298646829268293,2.8450565853658674,-0.23123471544715457,-0.5295068292682927,0.008043188649143178,0.0028173875412249826,0.007336215723822519,107.12329258659709
2024-10-19,1000146120,"Spencer, Connor",4S,96.78269,19.46926,0.8261,2301.919161,6.07109,6.22081,1.88836,0.8261,1.88836,4S,92.262221,19.957132,-3.4301886666666666,4.520469000000006,-0.48787200000000297,4.256288666666666,0.009880054971215111,0.0028173875412249826,0.007336215723822519,109.62712615859412
2024-10-12,10123181,"Hancock, Owen",4S,96.78017,21.41446,6.06677,2440.545141,6.00501,6.19978,0.6735,6.06677,0.6735,4S,93.95215341463414,17.772974715447155,5.298646829268293,2.8280165853658588,3.641485284552843,0.7681231707317071,0.01547028234931688,0.0028173875412249826,0.007336215723822519,117.24716841000844
2024-10-12,10123181,"Hancock, Owen",4S,96.66167,19.38111,4.46008,2282.404101,5.98321,6.14126,0.75544,4.46008,0.75544,4S,93.95215341463414,17.772974715447155,5.298646829268293,2.7095165853658614,1.6081352845528443,-0.8385668292682933,0.0033918951268130603,0.0028173875412249826,0.007336215723822519,100.78311163032258
2024-11-02,1000090130,"Galle, Patrick",4S,96.66116,18.84946,5.99048,2265.13726,6.23144,5.85595,1.43361,5.99048,1.43361,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.7976813793103332,2.3272020689655157,-0.5646339655172419,0.00760609952812921,0.0028173875412249826,0.007336215723822519,106.52749614675872
2024-10-19,1000090130,"Galle, Patrick",4S,96.63609,19.12686,11.77201,2304.826546,6.60542,5.73547,1.4377,11.77201,1.4377,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.7726113793103337,2.604602068965516,5.216896034482758,0.003894798988880229,0.0028173875412249826,0.007336215723822519,101.46862018268713
2024-10-12,10123181,"Hancock, Owen",4S,96.52141,13.85331,7.86079,1958.051663,5.81543,6.24909,0.80159,7.86079,0.80159,4S,93.95215341463414,17.772974715447155,5.298646829268293,2.5692565853658635,-3.919664715447155,2.562143170731707,0.003719556010272194,0.0028173875412249826,0.007336215723822519,101.22974637471148
2024-10-19,1000146120,"Spencer, Connor",4S,96.48398,20.41883,-4.00693,2351.678167,6.25237,6.06726,1.82503,-4.00693,1.82503,4S,92.262221,19.957132,-3.4301886666666666,4.221759000000006,0.4616979999999984,-0.5767413333333331,0.013062103594322189,0.0028173875412249826,0.007336215723822519,113.96457852218012
2024-09-28,1000090130,"Galle, Patrick",4S,96.48214,20.31792,7.91745,2239.467755,6.22398,5.74833,1.81033,7.91745,1.81033,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.618661379310339,3.795662068965516,1.362336034482758,0.016238366037094682,0.0028173875412249826,0.007336215723822519,118.29414373992363
2024-10-25,1000146120,"Spencer, Connor",4S,96.47296,19.93426,0.41913,2385.502986,5.88317,6.09527,2.01496,0.41913,2.01496,4S,92.262221,19.957132,-3.4301886666666666,4.210739000000004,-0.022872000000003112,3.8493186666666666,0.007238161883999071,0.0028173875412249826,0.007336215723822519,106.02596012603438
2024-11-02,1000090130,"Galle, Patrick",4S,96.43806,16.81359,10.25662,2096.434498,6.03457,6.04725,1.17896,10.25662,1.17896,4S,95.86347862068966,16.522257931034485,6.555113965517242,0.5745813793103309,0.29133206896551656,3.701506034482758,0.008564847818131159,0.0028173875412249826,0.007336215723822519,107.8343665089383
